Module,Function,Tag,en,zh-Hans
"Play","Follow","Success","Following","关注成功"
"Play","Gift","Alert_GiftRank","Contribution Rank","贡献榜"
"Play","Gift","Alert_Recharge","Purchase","去充值"
"Play","Gift","Alert_Title","You coins are not enough, please purchase","你的金币不足，请先充值"
"Play","Gift","Send_Failed","Gift giving failed！","赠送礼物失败！"
"Play","Gift","Send_Success","Gift giving success！","赠送礼物成功！"
"Play","GiftRank","Empty_Desc","The work hasn\\\'t received any gifts.","该作品还没有收到礼物"
"Play","Sing","Button_Title","Sing","演唱"
"Rebuse","Button","","Report","举报"
"Record","Complete","Back_Mp","Quit","退出"
"Record","Complete","Give_Up_Button_Text","Quit","退出"
"Record","Complete","Init_Error","Initialization Failed","初始化失败"
"Record","Complete","Lyric_None","Sing your own lyrics","暂无歌词"
"Record","Complete","Lyric_Search","Searching lyrics","正在搜索歌词"
"Record","Complete","Merge_Progress","Synthesis Progress","合成进度"
"Record","Complete","Merging_Text","Synthesizing","正在合成"
"Record","Complete","NameLimit_Alert_Desc","Song name supports up to 40 chars","歌曲名最多支持40字，请重新输入"
"Record","Complete","NameLimit_Alert_Title","Song name too long","歌曲名过长"
"Record","Complete","Params_Mission","System Error","系统错误"
"Record","Complete","Rename_Alert_Placeholder","Up to 40 chars, without emoji","请输入歌曲名，最多40字，不支持表情"
"Record","Complete","Rename_Alert_Title","Song Name","歌曲名"
"Record","Complete","Rerecord_Dialog_Content","Are you sure you want to rerecord?","确定要重新录制吗？"
"Record","Complete","UnSave_Record_Dialog_Content","Current song has not been saved. Are you sure you want to rerecord?","当前歌曲还没有保存，确定要重新录制吗？"
"Record","Complete","UnSave_Record_Dialog_Title","Are you sure you want to rerecord?","确定要重新录制吗？"
"Record","Complete","Upload_Button","Upload","上传"
"Record","Complete","WorkLimit_Alert1","To upload your work, it must be longer than 45 seconds.","录音长度大于45秒的作品才能上传"
"Record","Complete","WorkLimit_Alert2","To upload your work, please record longer","伴奏长度小于60秒的作品，录音长度大于30秒才能上传至个人主页"
"Record","Convert","Error","File cannot be converted to PCM","文件无法转换为PCM"
"Record","Headphone","Tip_Label","headphones\nrecommended","戴耳机录n效果更好"
"Record","Prepare","Audio_Space_Tip","Keep a certain distance from microphone for good recording quality","和话筒保持适当的距离可以防止喷麦"
"Record","Prepare","Audio_Tip","Tap to pause, drag lyrics to rerecord","点击歌词暂停，拖动歌词可以重新录制"
"Record","Prepare","Check_Loading","Checking data…","检查伴奏…"
"Record","Prepare","Clear_Song_Not_Support_Scorec","Scoring not supported","清唱不支持打分"
"Record","Prepare","Decode_Mp3_Fail","Decoding MP3 failed, Please try again","解码mp3失败，请重试"
"Record","Prepare","Download_Alert_Title","Download failed, please check network connection","下载失败，请检查网络链接"
"Record","Prepare","Download_Dialog_Title","Download failed","下载失败"
"Record","Prepare","Duet","Duet","合唱"
"Record","Prepare","Init_Error_Toast","Parameter error","参数错误"
"Record","Prepare","Memory_Forbid_Video","Notice: insufficient storage space and errors may occur during recording","请注意：磁盘空间不足，录制过程中可能会发生异常。"
"Record","Prepare","Not_Support_Score","The accompaniment does not support scoring","该伴奏暂不支持打分"
"Record","Prepare","Oppo_R9_Permission_Tip_Line1","Please check \""No Longer Remind\"" and click on The Authorization","请先勾选“不再提醒”，然后再点击授权，"
"Record","Prepare","Oppo_R9_Permission_Tip_Line2","Otherwise it might cause the voice and accompaniment to be unaligned!","否则会导致人声与伴奏无法对齐的问题！"
"Record","Prepare","Oppo_R9_Permission_Tip_Line3","Please re-record after authorization","授权后请重新录音"
"Record","Prepare","Permission_Dialog_Camera_Data","Unable to get camera data, open camera permissions for app in mobile app permissions management","没有获取摄像头数据，请在手机应用权限管理中打开应用的摄像头权限"
"Record","Prepare","Permission_Dialog_Camera_GotoSettings","Go to Settings","去设置页"
"Record","Prepare","Permission_Dialog_Cancle_Title","Try again","再试一次"
"Record","Prepare","Permission_Dialog_Confirm_Title","See Details","查看详情"
"Record","Prepare","Permission_Dialog_Confirm_Toast","If you are sure audio permission is enabled, Please restart phone and try again!","如果您确认录音权限没问题， 请重启手机再试！"
"Record","Prepare","Permission_Dialog_Confirm_Video_Title","If you are sure video permission is enabled, Please restart phone and try again!","如果您确认录像权限没问题， 请重启手机再试！"
"Record","Prepare","Permission_Dialog_Content","Recording permissions might be disabled, Please check","检测到你的【录音权限】可能被系统禁用,请确认你的录音权限已经开启"
"Record","Prepare","Permission_Dialog_Init_Content","Initial recording failed, Recording Permissions may be disabled. Please check and try again!","初始录音配置失败，你的【录音权限】可能被系统禁用, 请确认你的录音权限已经开启或则重启手机！"
"Record","Prepare","Permission_Dialog_Later_Title","Maybe later","以后再说"
"Record","Prepare","Permission_Dialog_Title","Tips","温馨提示"
"Record","Prepare","Solo","Solo","独唱"
"Record","Prepare","Start","Start","开始"
"Record","Prepare","Start_Record_Fail","Start recording failed. Please try again","启动录音失败，请重试"
"Record","Prepare","Video_MVFilter_Toast","Video filter is disabled due to the performace of your device","由于手机性能原因，暂时无法使用该滤镜"
"Record","Prepare","Video_Save_Error_Content","Recording MV function is disabled due to the performace of your device","抱歉，系统判断你的手机性能较低，暂时无法录制MV"
"Record","Prepare","Video_Save_Error_Title","Prompt","提示"
"Record","Preview","HeadSetTips","headphonesnrecommended","戴耳机录歌n效果更好"
"Record","Record","go_back_home","Back","返回"
"Record","Record","reply_send_btn","Send","发送"
"Record","Recording","choose_start_pos","Choose start position","选择录音开始位置"
"Record","Recording","Continue_Button","Record","录制"
"Record","Recording","Continue_Tip","Tap to continue","点击视频继续"
"Record","Recording","Control_Button","Controller","调节器"
"Record","Recording","Done_Button","Finish","完成"
"Record","Recording","Leave_Dialog_Text1","Recording has not started, Are you sure you waint to quit?","录音还没有开始，确定要退出吗？"
"Record","Recording","Leave_Dialog_Text2","Are you sure you want to stop recording?","确定要放弃录制吗？"
"Record","Recording","Leave_Dialog_Text3","Current song has not been saved. Are you sure you want to discard it?","当前歌曲还没有保存，确定要放弃录制吗？"
"Record","Recording","Mv_Record_Error_Common","Failed to start recording on your device. If error recurrs, restart your device and report the problem to the phone manufacturer","你的设备启动录像失败。如多次失败，请尝试重启机器并将该问题反馈给手机厂商"
"Record","Recording","Not_Enough_Space","You have insufficient free storage space","你的存储空间不足，请先清理你的SD卡内容"
"Record","Recording","Not_Enough_Space_With_Num","Insufficient storage space. Please ensure the device has at Least %d MB of free space","磁盘空间不足,至少留出%d存储空间"
"Record","Recording","Only_Chorus","Only chorus","仅副歌"
"Record","Recording","Original_Button","Original","原唱"
"Record","Recording","Pause_Button","Pause","暂停"
"Record","Recording","Pause_Exit_App_Toast","Your Concert May Be Interrupted by%s, It Is Recommended That You Exit The Application During Recording","你的演唱可能被%s打断，建议录制过程中退出该应用"
"Record","Recording","Pause_Tip","Tap to pause","点击视频暂停"
"Record","Recording","Progress_Text","Loading…%d","加载中…%d"
"Record","Recording","Record_Error_Common","Failed to start recording on your device. If error recurrs, restart your device and report the problem to the phone manufacturer","你的设备启动录音失败。如多次失败，请尝试重启机器并将该问题反馈给手机厂商"
"Record","Recording","Report_Alert","Thanks for your feedback. We will address ASAP","感谢您的反馈，我们会尽快处理"
"Record","Recording","Report_Button","Report","举报"
"Record","Recording","Report_Text","Report","反馈"
"Record","Recording","resume","Resume Record","继续录音"
"Record","Recording","Score","Score","得分"
"Record","Recording","Skip_End","Skip epilog","跳过结尾"
"Record","Recording","Skip_Prelude","Skip prelude","跳过前奏"
"Record","Recording","Try_Again_Alert","Operation too frequent. Please try again later","操作过于频繁,请稍候再试"
"Record","Recording","Volume_Minimum_Toast","The volume of voice is set to minimum. It is recommended to adjust the volume of voice to a proper level to ensure recording effect","你目前设置的人声音量为最小。如果想正常录音，建议调整人声音量到合适大小"
"Record","Report","Success","Feedback success","反馈成功"
"Record","Report","Text_1","Play is not smooth","播放不流畅"
"Record","Report","Text_2","The picture is not clear","画面不清晰"
"Record","Report","Text_3","Music is not synchronized","音画不同步"
"Record","Report","Text_4","Voice and accompaniment not synced","人声伴奏对不齐"
"Record","Report","Text_5","Low karaoke quality","伴奏质量差"
"Record","Report","Text_6","Wrong lyrics","歌词有错误"
"Record","Report","Text_7","Recording is not smooth","录制不流畅"
"Record","Report","Text_8","Lyric and accompaniment dislocation","歌词与伴奏错位"
"Record","Report","Text_9","Intonation Indicator not accurate","音准器节奏对不齐"
"Record","Upload","Album_Chose_Tip","You can choose up to 15 pictures","最多可以选择15张图片"
"Record","Upload","Album_Delete","Delete","删除"
"Record","Upload","Album_Desc","Add photos for music play","选取照片，当音乐播放的时候会轮播这些照片"
"Record","Upload","Album_Max_Tip","Reach the maximum amount","您已经添加了15张图片，不能再继续添加"
"Record","Upload","Album_Preview","Preview","预览"
"Record","Upload","Album_Select_Max","Up to %ld photos","最多可选择%ld张照片"
"Record","Upload","Album_Title","Album","相册"
"Record","Upload","Album_Unusable","Album is unusable","相册暂时不可用"
"Record","Upload","Camera_Unusable","Camera is unusable","摄像头暂时不可用"
"Record","Upload","Change_Cover","Change cover","更换封面"
"Record","Upload","Competition_Desc","You have already joined this contest","你已经参加过这个比赛了"
"Record","Upload","ComposeFail_Tip","Compose failed","作品合成失败"
"Record","Upload","Cover_Crop_Error","Image clipping error","图片裁减异常"
"Record","Upload","Cover_Crop_No_Sdcard","No SD card","没有本地SD卡"
"Record","Upload","Features","Featured covers","推荐图库"
"Record","Upload","NoNetwork_Tip","Please check network connection","请检查网络链接"
"Record","Upload","Private_Desc","Only you can see","只有自己可以看到"
"Record","Upload","Private_Title","Private","私密"
"Record","Upload","Public_Desc","Public to all users","所有人都可以看到"
"Record","Upload","Public_Title","Public","公开"
"Record","Upload","SaveFail_Tip","Save failed, please try again","保存失败，请重试"
"Record","Upload","Send_Button","Upload","上传"
"Record","Upload","TextView_Placeholder","Say something…","给作品添加描述"
"Record","Upload","Title","Upload","上传"
"RecordComplete","Score","Tip","Your score","你的得分"
"Recording","SoloAudio","ClickToContinue","Tap lyrics to continue","轻按歌词继续录制"
"Recording","Time","Title","Recording","正在录制"
"Register","Error","Headphoto","Please choose a profile picture","请设置头像"
"Register","Error","Name","Please set your username","请设置昵称"
"Register","Error","Save_Headphoto","Save profile picture failed","头像保存失败"
"Register","Error","Sex","Please choose your gender","请选择性别"
"Report","Accompaniment","Quality","Low karaoke quality","伴奏质量差"
"Report","Intonation","Indicator_Not_Accurate","Intonation Indicator not accurate","音准器节奏对不齐"
"Report","Lyrics","Mistakes","Wrong lyrics","歌词有错误"
"Report","Voice","Accompaniment_Not_Synced","Voice and accompaniment not synced","人声和伴奏对不齐"
"Root","Home","Title","HOME","动态"
"Root","Me","Title","ME","我"
"Root","Sing","Title","Sing",""
"Save","Button","","Save","保存"
"Search","Label","Clear","Clear History","清空历史记录成功"
"Search","Label","Error","No Search Results","未搜到相关结果"
"Search","Label","User","Search Username Or User ID","搜索用户名或用户ID"
"search","report","button","Report >","反馈 >"
"search","report","tip","Isn\'t here any karaoke you want?","没有你想要的歌曲？"
"Search","Result","Empty_Tip","Please enter the content you want to search for","请输入需要搜索的内容"
"Setting","Button","","Setting","设置"
"Settings","Button","","Settings","设置"
"Share","App","Install","Install","安装"
"Share","Copylink","Lable","Copy Link","链接"
"Share","Copylink","Success_Msg","copied","已复制"
"Share","Dialog","Tip_Share_Later","Please share it later","请稍后分享"
"Share","Success","Tip","share success","分享成功"
"Share","Twitter","Is_Not_Installed","Twitter not on your phone,  install it now?","你还没有安装Twitter，是否安装"
"Share","Twitter","Success_Msg","Shared to Twitter","成功分享到Twitter"
"Share","Url","Missed_Msg","Please share it later","请稍候再分享"
"Share","UserWork","ListenButton","Listen","查看"
"Sing","FinishRecord","Completed_Prompt","Are you sure you want to finish recording?","确定要完成录制吗？"
"Sing","FinishRecord","Title","Finish","完成录制"
"Sing","FinishRecord","Uncompleted_Prompt","Are you sure you want to finish recording?","确定要提前完成录制吗？"
"Sing","Original","CopySuccess","Copied to clipboard","已复制"
"Sing","Original","CopyTip","Click and copy URL to clipboard","点击复制到粘贴板"
"Sing","Original","OwnMusic","Uploading your karaoke music…","上传自己的伴奏"
"Sing","Original","Title","Original","原创"
"Sing","Original","VoiceOnly","Original","清唱"
"Sing","Original","Work","Uploading original work…","上传原创作品"
"Sing","Record","Discard","Discard","放弃保存"
"Sing","Record","EQ","Timbre","音色"
"Sing","Record","EQ_Bass","Deep","低沉"
"Sing","Record","EQ_Treble","Bright","明亮"
"Sing","Record","Exit","Exit","放弃录制"
"Sing","Record","Last_Move","Rhythm","节奏"
"Sing","Record","Rerecord","Restart","重新录制"
"Sing","Search","Friends","Users","用户"
"Sing","Search","Karaoke","Karaoke","卡拉OK"
"Sing","Search","SongsOrSinger","song or artist","歌曲名或歌手名"
"Sing","Search","Work","Work","作品"
"Sing","Song_List","Empty_Desc","Coming soon","即将到来"
"Sing","SongList","Genre_Default","History","已点歌曲"
"Sing","SongList","Header_Live","Live","直播"
"Sing","SongList","Header_Original","Original","原创"
"Sing","SongList","Search","Search","搜索"
"Song","Search","Empty_Desc","No search results","暂无搜索结果"
"SuperFan","Page","Reward","SuperFan rewards","超级粉丝奖励"
"SuperFan","Page","SuccessMsg","Successfully purchased","购买成功"
"SuperFan","Page","Title","SuperFan","超级粉丝"
"SuperFans","Purchase","Success","Successfully purchased","购买成功"
"Unblock","Button","","Unblock","从黑名单中移除"
"Upload","Dialog","Success_Label","Success","成功"
"Upload","Exit","Dialog_Content","Canceling will delete your current recording.","取消上传将删除你的当前录音。"
"Upload","Exit","Dialog_Title","Cancel uploading ?","取消上传吗？"
"Upload","Photo","Fail_Msg","Upload failed","上传图片失败"
"Upload","Photo","Success_Msg","Uploaded","上传图片成功"
"Upload","Share","Dialog_Listen_Btn","Listen","收听"
"User","CannotFollowSelf","Tip","You cannot follow yourself","不能关注你自己哦"
"User","Comment","Delete_Msg","Comment deleted","删除评论成功"
"User","Comments","Title","Comments","评论通知"
"User","Comp","Current_Rank","Current Rank","当前排名"
"User","Comp","Final_Rank","Final Rank","最终排名"
"User","Fans","Label","FANS","粉丝"
"User","Fans","Title","Fans","粉丝"
"User","FansList","RightButton","Upgrade","升级"
"User","Follow","Label","FOLLOW","关注"
"User","Follow","Title","Follow","关注"
"User","Follow_Eachother","Title","Following","互相关注中"
"User","Following","Label","FOLLOWING","关注"
"User","Following","Title","Following","关注中"
"User","Gifts","Title","Gifts","收到礼物"
"User","Info","SuperFan","SuperFan","超级粉丝"
"User","Live","Button","Live","直播"
"User","Mutual","Label","Friend","好友"
"User","Notices","Title","Notifications","系统通知"
"User","Profile","Bio","Bio:","简介:"
"User","Profile","CopyLink_Label","Copy Link","链接"
"User","Profile","DelUserWork","Are you sure you want to delete this work?","确认要删除该作品吗?"
"User","Profile","Facebook_Label","Facebook","Facebook"
"User","Profile","Female_Label","Female","女"
"User","Profile","Gender_Label","Sex","性别"
"User","Profile","Instagram_Label","Instagram","Instagram"
"User","Profile","Male_Label","Male","男"
"User","Profile","Name_Label","Username","昵称"
"User","Profile","Phone_Label","Telephone","电话号码"
"User","Profile","Photo_Label","Change Photo","照片"
"User","Profile","Security_Label","Privacy","隐私"
"User","Profile","Sign_Label","Short Bio","个性签名"
"User","Profile","Sign_PlaceHolder","Edit short bio","写下签名"
"User","Profile","Songs_Label","%d songs","%d 首歌"
"User","Profile","SSO_Add_Label","Connect","绑定"
"User","Profile","SSO_Bind_Label","Connected","已绑定"
"User","Profile","SuperFan","super","super"
"User","Profile","SuperFanFull","SUPER\nFAN","SUPER\nFAN"
"User","Profile","SuperFanUpgrade","Upgrade","升级"
"User","Profile","Title","Edit Profile","个人资料"
"User","Profile","Twitter_Label","Twitter","Twitter"
"User","Set","Clear_Cache","Are you sure you want to clear cache?","清理缓存将会清空伴奏文件，确定清理缓存？"
"User","Set","Doing","Cleaning in the background…","正在后台清理中…"
"User","Set","Done","Cache is empty","缓存已清空"
"User","Set","HardDecode","Hardware acceleration","硬件加速"
"User","Set","Init_Cache","Calculating cache size","正在计算缓存大小"
"User","Songs","Delete_Msg","This work has joined a contest, Are you sure you want to delete? Meanwhile this work will be deleted from the contest","歌曲正在参加比赛，确定删除？"
"User","Songs","Desc","Songs","首歌"
"User","Songs","Label","SONGS","歌曲"
"User","Songs","Title","Songs","歌曲"
"User","Unblock","Success_Msg","Unblock","移除黑名单成功"
"User","Unfollow","Button","Unfollow","取消关注"
"User","UnFollow","Success_Label","Unfollow successful","取消关注成功"
"User","Upload","Photo_Tip","Uploading your profile picture…","正在上传头像……"
"UserCenter","Upload","delete_confirm_msg","Are you sure you want to delete %1$s","确认删除%1$s"
"UserWork","Comment","Empty_Desc","Be the first one to leave your comment:)","第一个留下你的评论吧～"
"UserWork","Contribution","Rank","Contribution Rank","贡献榜"
"VocalControl","HumanVolume","Title","Voice","人声"
"VocalControl","MusicVolume","Title","Music","伴奏"
"VocalControl","Tone","Title","Tone","声调"
"Web","LoadFail","Label","Loading failed, please try again","加载失败，请点击重试"
"Web","TopAlert","Label","You are visiting unofficial pages,  pay attention to the security of your account","您正在访问非Spotlite网页，请注意账号和密码安全"
"WithDraw","Records","Empty_Desc","You haven\'t made any withdrawal requests. Please win more diamonds","你还没有发起过提现，多多赢取钻石吧。"
"Yes","Button","","Yes","是"
